movies_name,movies_rating,movies_tv_rating,movies_genre,movies_year,,Row Labels,Average of movies_rating,,,,,,,,Row Labels,Count of movies_tv_rating,,,,Row Labels,,Row Labels,Count of movies_genre
The Bad Guys,6.9,PG,"Animation, Adventure, Comedy",-2022,,M,7.785765125,,,,,,,,R,3170,,,,"Action, Adult, Sci-Fi",,"Animation, Action, Adventure",1625
One Piece,8.8,TV-14,"Animation, Action, Adventure",(1999– ),,K-A,7.654545455,,,,,,,,Not Rated,2173,,,,"Action, Adventure, Animation",,Comedy,1509
Attack on Titan,9,TV-MA,"Animation, Action, Adventure",(2013–2023),,T,7.616964286,,,,,,,,PG-13,1829,,,,"Action, Adventure, Biography",,"Animation, Adventure, Comedy",1209
Turning Red,7,PG,"Animation, Adventure, Comedy",-2022,,E,7.387096774,,,,,,,,TV-14,1759,,,,"Action, Adventure, Comedy",,"Comedy, Drama",951
Sing 2,7.4,PG,"Animation, Adventure, Comedy",-2021,,E10+,7.289285714,,,,,,,,PG,1712,,,,"Action, Adventure, Crime",,"Comedy, Drama, Romance",921
Encanto,7.2,PG,"Animation, Comedy, Family",-2021,,AO,6.966666667,,,,,,,,TV-MA,1454,,,,"Action, Adventure, Drama",,Animation,710
Lightyear,,,"Animation, Action, Adventure",-2022,,TV-PG,6.960294118,,,,,,,,TV-PG,1232,,,,"Action, Adventure, Family",,"Action, Adventure, Comedy",655
The Simpsons,8.7,TV-PG,"Animation, Comedy",(1989– ),,TV-13,6.9,,,,,,,,TV-Y7,922,,,,"Action, Adventure, Fantasy",,"Comedy, Romance",625
Family Guy,8.2,TV-MA,"Animation, Comedy",(1999– ),,TV-MA,6.84591195,,,,,,,,TV-G,712,,,,"Action, Adventure, History",,"Animation, Short, Comedy",522
Rick and Morty,9.2,TV-MA,"Animation, Adventure, Comedy",(2013– ),,TV-14,6.831113662,,,,,,,,G,712,,,,"Action, Adventure, Horror",,Sci-Fi,509
Spy x Family,9,TV-14,"Animation, Action, Comedy",(2022– ),,Passed,6.672222222,,,,,,,,TV-Y,663,,,,"Action, Adventure, Mystery",,"Animation, Comedy, Family",507
Arcane,9.1,TV-14,"Animation, Action, Adventure",(2021– ),,TV-G,6.618846695,,,,,,,,Approved,536,,,,"Action, Adventure, Romance",,"Action, Adventure, Sci-Fi",485
Demon Slayer: Kimetsu no Yaiba,8.7,TV-MA,"Animation, Action, Adventure",(2019– ),,TV-Y,6.577607362,,,,,,,,Unrated,398,,,,"Action, Adventure, Sci-Fi",,"Animation, Short, Adventure",427
The Lion King,6.8,PG,"Animation, Adventure, Drama",-2019,,TV-Y7,6.554292085,,,,,,,,M,286,,,,"Action, Animation",,"Animation, Adventure, Family",384
South Park,8.7,TV-MA,"Animation, Comedy",(1997– ),,MA-17,6.55,,,,,,,,T,231,,,,"Action, Animation, Adventure",,"Horror, Sci-Fi",381
Bob's Burgers,8.2,TV-14,"Animation, Comedy",(2011– ),,(blank),6.549038462,,,,,,,,Passed,162,,,,"Action, Animation, Comedy",,"Animation, Comedy, Drama",366
Star Wars: The Clone Wars,8.4,TV-PG,"Animation, Action, Adventure",(2008–2020),,TV-Y7-FV,6.534193548,,,,,,,,TV-Y7-FV,155,,,,"Action, Animation, Family",,"Animation, Action, Comedy",352
Bubble,6.6,TV-PG,"Animation, Action, Adventure",-2022,,Approved,6.474766355,,,,,,,,E10+,87,,,,"Action, Animation, Fantasy",,"Animation, Comedy",350
What If...?,7.5,TV-14,"Animation, Action, Adventure",(2021– ),,NC-17,6.326315789,,,,,,,,E,62,,,,"Action, Animation, Horror",,"Animation, Family",319
Undone,8.2,TV-MA,"Animation, Drama, Fantasy",(2019– ),,G,6.234269663,,,,,,,,NC-17,19,,,,"Action, Animation, Sci-Fi",,"Animation, Short, Action",315
Chip 'n' Dale: Rescue Rangers,,PG,"Animation, Adventure, Comedy",-2022,,Open,6.2,,,,,,,,GP,18,,,,"Action, Biography, Comedy",,"Action, Adventure, Drama",309
Spider-Man: Into the Spider-Verse,8.4,PG,"Animation, Action, Adventure",-2018,,GA,6.2,,,,,,,,X,17,,,,"Action, Comedy",,"Comedy, Crime, Drama",274
The Lion King,8.5,G,"Animation, Adventure, Drama",-1994,,M/PG,6.125,,,,,,,,K-A,11,,,,"Action, Comedy, Adventure",,"Action, Comedy, Crime",273
BoJack Horseman,8.8,TV-MA,"Animation, Comedy, Drama",(2014–2020),,PG-13,5.961941533,,,,,,,,TV-13,5,,,,"Action, Comedy, Crime",,"Action, Adventure, Fantasy",272
"Love, Death & Robots",8.4,TV-MA,"Animation, Short, Action",(2019– ),,Not Rated,5.806105458,,,,,,,,M/PG,4,,,,"Action, Comedy, Drama",,"Action, Sci-Fi",264
The Owl House,8.1,TV-Y7-FV,"Animation, Action, Adventure",(2020– ),,PG,5.803875514,,,,,,,,AO,3,,,,"Action, Comedy, Family",,"Drama, Sci-Fi",244
Invincible,8.7,TV-MA,"Animation, Action, Adventure",(2021– ),,R,5.651111111,,,,,,,,MA-17,2,,,,"Action, Comedy, Fantasy",,"Horror, Sci-Fi, Thriller",228
Avatar: The Last Airbender,9.3,TV-Y7-FV,"Animation, Action, Adventure",(2005–2008),,Unrated,5.564735516,,,,,,,,GA,1,,,,"Action, Comedy, History",,"Animation, Action, Drama",228
Young Justice,8.7,TV-PG,"Animation, Action, Adventure",(2010– ),,GP,5.316666667,,,,,,,,Open,1,,,,"Action, Comedy, Horror",,"Comedy, Sci-Fi",224
Human Resources,7.2,TV-MA,"Animation, Comedy, Romance",(2022– ),,X,5.164705882,,,,,,,,12,1,,,,"Action, Comedy, Music",,"Comedy, Drama, Family",220
Naruto: Shippûden,8.7,TV-PG,"Animation, Action, Adventure",(2007–2017),,12,,,,,,,,,(blank),,,,,"Action, Comedy, Mystery",,"Action, Sci-Fi, Thriller",207
Puffins Impossible,9.5,,Animation,(2021– ),,Grand Total,6.340304621,,,,,,,,Grand Total,18337,,,,"Action, Comedy, Reality-TV",,"Action, Horror, Sci-Fi",200
Archer,8.6,TV-MA,"Animation, Action, Comedy",(2009– ),,,,,,,,,,,,,,,,"Action, Comedy, Romance",,"Animation, Short",194
Naruto,8.4,TV-PG,"Animation, Action, Adventure",(2002–2007),,,,,,,,,,,,,,,,"Action, Comedy, Sci-Fi",,"Animation, Action, Fantasy",174
Big Mouth,7.9,TV-MA,"Animation, Comedy, Romance",(2017– ),,,,,,,,,,,,,,,,"Action, Comedy, Sport",,"Comedy, Family",173
Futurama,8.5,TV-14,"Animation, Adventure, Comedy",(1999–2023),,,,,,,,,,,,,,,,"Action, Comedy, Thriller",,"Sci-Fi, Thriller",167
My Hero Academia,8.4,TV-14,"Animation, Action, Adventure",(2016– ),,,,,,,,,,,,,,,,"Action, Comedy, War",,"Comedy, Drama, Fantasy",164
Pacific Rim: The Black,7,TV-14,"Animation, Action, Adventure",(2021–2022),,,,,,,,,,,,,,,,"Action, Comedy, Western",,"Animation, Comedy, Fantasy",163
SpongeBob SquarePants,8.2,TV-Y7,"Animation, Comedy, Family",(1999– ),,,,,,,,,,,,,,,,"Action, Crime, Comedy",,"Adventure, Comedy, Family",157
Jujutsu Kaisen,8.6,TV-MA,"Animation, Action, Adventure",(2020– ),,,,,,,,,,,,,,,,"Action, Crime, Drama",,"Animation, Adventure, Drama",156
Untitled Illumination Entertainment Super Mario Project,,,"Animation, Adventure, Comedy",-2023,,,,,,,,,,,,,,,,"Action, Crime, Fantasy",,"Comedy, Crime",154
King of the Hill,7.4,TV-14,"Animation, Comedy, Drama",(1997–2010),,,,,,,,,,,,,,,,"Action, Crime, Horror",,"Adventure, Comedy, Drama",152
Spirited Away,8.6,PG,"Animation, Adventure, Family",-2001,,,,,,,,,,,,,,,,"Action, Crime, Mystery",,"Animation, Family, Fantasy",148
Cars,7.2,G,"Animation, Adventure, Comedy",-2006,,,,,,,,,,,,,,,,"Action, Crime, Sci-Fi",,"Drama, Mystery, Sci-Fi",146
American Dad!,7.4,TV-MA,"Animation, Comedy",(2005– ),,,,,,,,,,,,,,,,"Action, Drama, Comedy",,"Comedy, Horror",144
Hunter x Hunter,9,TV-14,"Animation, Action, Adventure",(2011–2014),,,,,,,,,,,,,,,,"Action, Drama, Family",,"Animation, Action, Sci-Fi",144
Sing,7.1,PG,"Animation, Comedy, Family",-2016,,,,,,,,,,,,,,,,"Action, Drama, Fantasy",,"Drama, Sci-Fi, Thriller",141
Moana,7.6,PG,"Animation, Adventure, Comedy",(I) (2016),,,,,,,,,,,,,,,,"Action, Drama, Horror",,"Comedy, Horror, Sci-Fi",139
The Legend of Vox Machina,8.4,TV-MA,"Animation, Action, Adventure",(2022– ),,,,,,,,,,,,,,,,"Action, Drama, Music",,"Action, Drama, Sci-Fi",132
Star Wars: Rebels,8,TV-Y7-FV,"Animation, Action, Adventure",(2014–2018),,,,,,,,,,,,,,,,"Action, Drama, Mystery",,"Comedy, Drama, Music",129
Black Clover,8.3,TV-PG,"Animation, Action, Adventure",(2017–2021),,,,,,,,,,,,,,,,"Action, Drama, Romance",,"Action, Adventure, Horror",124
Zootopia,8,PG,"Animation, Adventure, Comedy",-2016,,,,,,,,,,,,,,,,"Action, Drama, Sci-Fi",,"Horror, Mystery, Sci-Fi",116
Batman: The Animated Series,9,TV-PG,"Animation, Action, Adventure",(1992–1995),,,,,,,,,,,,,,,,"Action, Family, Adventure",,"Animation, Comedy, Romance",114
Death Note,9,TV-14,"Animation, Crime, Drama",(2006–2007),,,,,,,,,,,,,,,,"Action, Family, Fantasy",,"Short, Sci-Fi",111
Spider-Man: Across the Spider-Verse,,,"Animation, Action, Adventure",-2023,,,,,,,,,,,,,,,,"Action, Family, Horror",,"Drama, Horror, Sci-Fi",111
